source_interest_excel_row,source_excel_row,OPLEIDINGSEENHEIDCODE,ONDERWIJSAANBIEDER_NAAM,ERKENDEOPLEIDINGSCODE,NAAM_LANG,student_interest,evidence,source_title,source_url,strength,interest_relationship,counselor_programme_id,target_mapping_status
255,467,1001O5656,Wageningen University,50100,International Land and Water Management,sustainable land and water management,"The programme's central focus is designing practical, sustainable responses to land-use and water-management challenges.",International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
256,467,1001O5656,Wageningen University,50100,International Land and Water Management,"combining environmental science, society and engineering","The bachelor explicitly combines natural sciences, social sciences, and engineering perspectives on land and water problems.",International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
257,467,1001O5656,Wageningen University,50100,International Land and Water Management,drought and water scarcity,The programme identifies drought as a central global challenge addressed through practical land-and-water solutions.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
258,467,1001O5656,Wageningen University,50100,International Land and Water Management,flooding and flood management,Floods and reducing their consequences are explicitly presented as recurring substantive challenges in the programme.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
259,467,1001O5656,Wageningen University,50100,International Land and Water Management,soil erosion,The programme explicitly investigates erosion processes and practical measures to combat erosion in different landscapes.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
260,467,1001O5656,Wageningen University,50100,International Land and Water Management,climate-change adaptation,"Students explicitly devise solutions that limit or adapt to the effects of climate change on land, water, and communities.",International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
261,467,1001O5656,Wageningen University,50100,International Land and Water Management,climate justice,"The 2026 programme-specific curriculum explicitly includes climate justice, alongside the bachelor's stated focus on social and policy responses to climate impacts.",International Land and Water Management — 2026 bachelor curriculum || International Land and Water Management — bachelor's programme,https://backend.wur.nl/sites/default/files/2026-04/BIL-vakkenschema-2026-EN.pdf || https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Curricular topic,cp-000448,mapped
262,467,1001O5656,Wageningen University,50100,International Land and Water Management,soil science and soil processes,"The bachelor explicitly studies soil, and the official curriculum reinforces this with soil geography and soil-process foundations.",International Land and Water Management — bachelor's programme || International Land and Water Management — 2026 bachelor curriculum,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management || https://backend.wur.nl/sites/default/files/2026-04/BIL-vakkenschema-2026-EN.pdf,Explicit,Direct programme interest,cp-000448,mapped
263,467,1001O5656,Wageningen University,50100,International Land and Water Management,hydrology and water systems,"The programme investigates water systems and water-related environmental processes, with water-system analysis embedded in the 2026 curriculum.",International Land and Water Management — bachelor's programme || International Land and Water Management — 2026 bachelor curriculum,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management || https://backend.wur.nl/sites/default/files/2026-04/BIL-vakkenschema-2026-EN.pdf,Explicit,Direct programme interest,cp-000448,mapped
264,467,1001O5656,Wageningen University,50100,International Land and Water Management,irrigation and agricultural water management,The second-year programme explicitly analyses ways to improve irrigation in agricultural landscapes.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
265,467,1001O5656,Wageningen University,50100,International Land and Water Management,water infrastructure and hydraulics,The programme explicitly studies hydraulics and examines dams and water-management infrastructure in real-world settings.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Curricular topic,cp-000448,mapped
266,467,1001O5656,Wageningen University,50100,International Land and Water Management,water treatment and purification,The programme explicitly investigates water-purification facilities as part of analysing practical land-and-water-management measures.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Illustrative or temporary topic,cp-000448,mapped
267,467,1001O5656,Wageningen University,50100,International Land and Water Management,sustainable agriculture and cropping systems,"The programme studies agronomics and farmer dilemmas, while its official 2026 curriculum includes crops and cropping systems.",International Land and Water Management — bachelor's programme || International Land and Water Management — 2026 bachelor curriculum,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management || https://backend.wur.nl/sites/default/files/2026-04/BIL-vakkenschema-2026-EN.pdf,Explicit,Direct programme interest,cp-000448,mapped
268,467,1001O5656,Wageningen University,50100,International Land and Water Management,land degradation and landscape restoration,"The programme discusses erosion and degraded landscapes, and a programme-specific student describes restoring original vegetation with local communities.",International Land and Water Management — bachelor's programme || International Land and Water Management — bachelor's student Mathijs,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management || https://www.wur.nl/en/student-stories-mathijs,Explicit,Curricular topic,cp-000448,mapped
269,467,1001O5656,Wageningen University,50100,International Land and Water Management,environmental geography,"The bachelor examines land, water, landscapes, and regional variation, and its student testimonial explicitly connects the degree with a strong interest in geography.",International Land and Water Management — bachelor's programme || International Land and Water Management — bachelor's student Mathijs,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management || https://www.wur.nl/en/student-stories-mathijs,Explicit,Curricular topic,cp-000448,mapped
270,467,1001O5656,Wageningen University,50100,International Land and Water Management,GIS and geospatial environmental analysis,The programme explicitly identifies Geo-Information Science as both a third-year specialisation and a directly connected master's route.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Stable study direction,cp-000448,mapped
271,467,1001O5656,Wageningen University,50100,International Land and Water Management,disaster risk and community resilience,The programme explicitly identifies Disaster Risk and Resilience and Disaster and Reconstruction as substantive specialisation directions.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Stable study direction,cp-000448,mapped
272,467,1001O5656,Wageningen University,50100,International Land and Water Management,the politics of land and water,"The programme foregrounds policy and competing stakeholder interests, and the 2026 curriculum identifies land-and-water politics as a substantive core component.",International Land and Water Management — bachelor's programme || International Land and Water Management — 2026 bachelor curriculum,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management || https://backend.wur.nl/sites/default/files/2026-04/BIL-vakkenschema-2026-EN.pdf,Explicit,Curricular topic,cp-000448,mapped
273,467,1001O5656,Wageningen University,50100,International Land and Water Management,environmental policy and resource governance,The programme explicitly studies policy dimensions of land and water management and identifies policy-oriented careers.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
274,467,1001O5656,Wageningen University,50100,International Land and Water Management,rural development and local livelihoods,"The programme analyses dilemmas involving farmers and companies, and its curriculum examines the economic and social dimensions of rural livelihoods.",International Land and Water Management — bachelor's programme || International Land and Water Management — 2026 bachelor curriculum,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management || https://backend.wur.nl/sites/default/files/2026-04/BIL-vakkenschema-2026-EN.pdf,Explicit,Curricular topic,cp-000448,mapped
275,467,1001O5656,Wageningen University,50100,International Land and Water Management,working with communities on environmental solutions,Students explicitly develop land-and-water plans in collaboration with local populations and affected stakeholders.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
276,467,1001O5656,Wageningen University,50100,International Land and Water Management,environmental economics,The programme explicitly incorporates economics and socioeconomic analysis into practical decisions about land and water management.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Direct programme interest,cp-000448,mapped
277,467,1001O5656,Wageningen University,50100,International Land and Water Management,agroforestry and climate-smart farming,A programme-linked alumna describes developing climate-smart agroforestry projects that support smallholder farmers and biodiversity.,International Land and Water Management — alumna Indira Gavilan,https://www.wur.nl/en/alumni-story-indira-gavilan,Inferred,Outcome or individual trajectory,cp-000448,mapped
278,467,1001O5656,Wageningen University,50100,International Land and Water Management,supporting smallholder farmers,The programme's featured alumna describes providing technical support to smallholder farmers facing climate and agricultural challenges.,International Land and Water Management — alumna Indira Gavilan,https://www.wur.nl/en/alumni-story-indira-gavilan,Inferred,Outcome or individual trajectory,cp-000448,mapped
279,467,1001O5656,Wageningen University,50100,International Land and Water Management,carbon storage in agricultural landscapes,The programme-linked alumna explains modelling carbon stored in trees within agroforestry designs and climate-related farming projects.,International Land and Water Management — alumna Indira Gavilan,https://www.wur.nl/en/alumni-story-indira-gavilan,Inferred,Outcome or individual trajectory,cp-000448,mapped
280,467,1001O5656,Wageningen University,50100,International Land and Water Management,international environmental development work,"The programme focuses on global land-and-water challenges and explicitly identifies NGOs, international organisations, consultancy, and policy work.",International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Outcome or individual trajectory,cp-000448,mapped
281,467,1001O5656,Wageningen University,50100,International Land and Water Management,researching how people and environments affect each other,"The curriculum explicitly identifies human–environment research methodology, reinforcing the bachelor's natural-science and social-science approach.",International Land and Water Management — 2026 bachelor curriculum || International Land and Water Management — bachelor's programme,https://backend.wur.nl/sites/default/files/2026-04/BIL-vakkenschema-2026-EN.pdf || https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Curricular topic,cp-000448,mapped
282,467,1001O5656,Wageningen University,50100,International Land and Water Management,teaching geography,The programme explicitly states that combining this bachelor with its Education minor can qualify students to teach geography in lower secondary school.,International Land and Water Management — bachelor's programme,https://www.wur.nl/en/education/bachelor/bachelors-international-land-and-water-management,Explicit,Stable study direction,cp-000448,mapped
283,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,primary-school teaching informed by academic research,The joint programme combines primary-teacher education with Erasmus university study in pedagogy and education from the first year.,"Academische pabo — programme structure, courses and careers || Erasmus School of Social and Behavioural Sciences — Hogeschool Rotterdam partnership",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/ || https://www.eur.nl/essb/samenleving/netwerken-en-samenwerking,Explicit,Direct programme interest,,excluded-no-current-target
284,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,how children learn and develop,"The programme connects primary teaching with scientific knowledge about upbringing, learning and child development.","Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Direct programme interest,,excluded-no-current-target
285,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,educational research in schools,The programme explicitly offers scientific educational research and the current prescribed list includes practice-based research in school.,"Academische pabo — programme structure, courses and careers || Academische PABO — prescribed reading list 2026–2027",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/ || https://www.hogeschoolrotterdam.nl/voorlichting/begeleiding-en-voorzieningen/bibliotheek/info-per-opleiding/instituut-voor-lerarenopleidingen/academische-pabo/boeken/,Explicit,Direct programme interest,,excluded-no-current-target
286,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,improving and innovating education,"The programme presents educational innovation, developing education and shaping the future of schooling as central directions.","Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Direct programme interest,,excluded-no-current-target
287,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,pedagogy and child-rearing,Students study the scientific foundations of upbringing and education at Erasmus alongside their teacher training.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Direct programme interest,,excluded-no-current-target
288,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,teaching children from different cultural backgrounds,The programme explicitly prepares academic teachers for intercultural primary education and culturally diverse classrooms.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Direct programme interest,,excluded-no-current-target
289,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,education in superdiverse urban communities,The programme teaches socialisation and inequality in a superdiverse society and identifies urban educational challenges.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Direct programme interest,,excluded-no-current-target
290,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,responding to differences in how children learn,"Students learn to address differences between children at cognitive, social-emotional and cultural levels.","Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Direct programme interest,,excluded-no-current-target
291,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,children’s social and emotional development,The programme specifically identifies children’s social-emotional differences as part of becoming a broadly qualified teacher.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Direct programme interest,,excluded-no-current-target
292,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,helping young children overcome language delays,The programme identifies possible language disadvantages among young children as a substantive issue for academic teachers.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Direct programme interest,,excluded-no-current-target
293,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,supporting children with behavioural difficulties,The professional profile specifically presents children’s behavioural problems as an area where academic teachers can take a leading role.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Direct programme interest,,excluded-no-current-target
294,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,teaching younger children,The third-year profiling phase offers a formal younger-child specialisation covering primary-school groups 1–4.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Stable study direction,,excluded-no-current-target
295,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,teaching older primary-school children,The third-year profiling phase offers a formal older-child specialisation covering primary-school groups 4–8.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Stable study direction,,excluded-no-current-target
296,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,education sciences and school improvement,"During bachelor years three and four, students take a sustained Erasmus subject route in educational sciences before the subsequent master.","Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Stable study direction,,excluded-no-current-target
297,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,parenting and child development in diverse communities,"During bachelor years three and four, the programme offers an Erasmus preparatory route focused on parenting questions in a diverse society.","Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Stable study direction,,excluded-no-current-target
298,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,special educational needs and orthopedagogy,The programme explicitly offers an orthopedagogy-focused Erasmus subject route within bachelor years three and four.,"Academische pabo — programme structure, courses and careers || ESSB master and premaster education and examination regulations 2026–2027",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/ || https://www.eur.nl/essb/media/2026-08-essb-pre-master-oer-26-27,Explicit,Stable study direction,,excluded-no-current-target
299,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,teaching reading and literacy,"The programme teaches language education, and the 2026–2027 reading list specifically includes early and technical reading instruction.","Academische pabo — programme structure, courses and careers || Academische PABO — prescribed reading list 2026–2027",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/ || https://www.hogeschoolrotterdam.nl/voorlichting/begeleiding-en-voorzieningen/bibliotheek/info-per-opleiding/instituut-voor-lerarenopleidingen/academische-pabo/boeken/,Explicit,Curricular topic,,excluded-no-current-target
300,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,teaching mathematics and numeracy,The programme includes mathematics teaching and the current reading list specifies learning arithmetic and whole-number teaching.,"Academische pabo — programme structure, courses and careers || Academische PABO — prescribed reading list 2026–2027",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/ || https://www.hogeschoolrotterdam.nl/voorlichting/begeleiding-en-voorzieningen/bibliotheek/info-per-opleiding/instituut-voor-lerarenopleidingen/academische-pabo/boeken/,Explicit,Curricular topic,,excluded-no-current-target
301,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,teaching science and technology in primary school,The programme lists nature and technology as a substantive subject area taught throughout the teacher-training programme.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Curricular topic,,excluded-no-current-target
302,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,teaching history and geography,"The four-year subject overview includes both history and geography, and the current reading list includes foundational history.","Academische pabo — programme structure, courses and careers || Academische PABO — prescribed reading list 2026–2027",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/ || https://www.hogeschoolrotterdam.nl/voorlichting/begeleiding-en-voorzieningen/bibliotheek/info-per-opleiding/instituut-voor-lerarenopleidingen/academische-pabo/boeken/,Explicit,Curricular topic,,excluded-no-current-target
303,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,"arts, drama and music education","The programme includes drama, visual arts and music and promises additional depth in world-oriented and arts subjects.","Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Curricular topic,,excluded-no-current-target
304,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,physical education for children,The subject overview explicitly includes movement and physical education within the four-year teacher-training curriculum.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Curricular topic,,excluded-no-current-target
305,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,teaching English to primary-school children,The programme lists English among the primary-education subjects taught during the bachelor.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Curricular topic,,excluded-no-current-target
306,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,developmental psychology,The current programme-specific prescribed reading includes a developmental psychology textbook.,Academische PABO — prescribed reading list 2026–2027,https://www.hogeschoolrotterdam.nl/voorlichting/begeleiding-en-voorzieningen/bibliotheek/info-per-opleiding/instituut-voor-lerarenopleidingen/academische-pabo/boeken/,Explicit,Curricular topic,,excluded-no-current-target
307,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,how play supports children’s development,The 2026–2027 prescribed reading list includes a substantive text devoted to observing and understanding children’s play.,Academische PABO — prescribed reading list 2026–2027,https://www.hogeschoolrotterdam.nl/voorlichting/begeleiding-en-voorzieningen/bibliotheek/info-per-opleiding/instituut-voor-lerarenopleidingen/academische-pabo/boeken/,Explicit,Curricular topic,,excluded-no-current-target
308,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,adolescent brain development,The current programme-specific prescribed reading list includes a book about the adolescent brain.,Academische PABO — prescribed reading list 2026–2027,https://www.hogeschoolrotterdam.nl/voorlichting/begeleiding-en-voorzieningen/bibliotheek/info-per-opleiding/instituut-voor-lerarenopleidingen/academische-pabo/boeken/,Explicit,Curricular topic,,excluded-no-current-target
309,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,classroom management,The 2026–2027 prescribed literature includes a dedicated classroom-management text.,Academische PABO — prescribed reading list 2026–2027,https://www.hogeschoolrotterdam.nl/voorlichting/begeleiding-en-voorzieningen/bibliotheek/info-per-opleiding/instituut-voor-lerarenopleidingen/academische-pabo/boeken/,Explicit,Curricular topic,,excluded-no-current-target
310,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,statistics for educational research,In the first bachelor year Erasmus provides an introduction to statistics alongside the scientific introduction to education.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Curricular topic,,excluded-no-current-target
311,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,educational inequality and socialisation,The Erasmus component expressly teaches socialisation and inequality in a superdiverse society.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Curricular topic,,excluded-no-current-target
312,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,legal and ethical questions in education,The Erasmus subject list explicitly includes legal and ethical skills related to educational and pedagogical practice.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Curricular topic,,excluded-no-current-target
313,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,evidence-based teaching and measuring learning outcomes,The age-specialisation phase identifies outcome-oriented teaching as one example of the educational issues students investigate.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Illustrative or temporary topic,,excluded-no-current-target
314,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,academic writing and responsible citation,The 2026–2027 prescribed reading includes a guide to APA academic referencing alongside school research materials.,Academische PABO — prescribed reading list 2026–2027,https://www.hogeschoolrotterdam.nl/voorlichting/begeleiding-en-voorzieningen/bibliotheek/info-per-opleiding/instituut-voor-lerarenopleidingen/academische-pabo/boeken/,Explicit,Curricular topic,,excluded-no-current-target
315,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,school curriculum development,The programme describes educational development as an academic-teacher responsibility and a possible professional direction.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Outcome or individual trajectory,,excluded-no-current-target
316,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,becoming a research-informed primary-school teacher,Graduates are qualified to teach all primary-school groups while applying academic pedagogical knowledge.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Outcome or individual trajectory,,excluded-no-current-target
317,2,1015O5181,Erasmus Universiteit Rotterdam,,Academische Pabo,coordinating innovation and behavioural support within a school,The careers section says academic teachers can take a leading role in school innovation or children’s behavioural problems.,"Academische pabo — programme structure, courses and careers",https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/,Explicit,Outcome or individual trajectory,,excluded-no-current-target
318,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,how governments solve social problems,"The programme explicitly invites students to analyse, understand and tackle difficult problems facing society.",Bestuurskunde — bachelor programme,https://www.eur.nl/bachelor/bestuurskunde,Explicit,Direct programme interest,cp-000001,mapped
319,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,public administration and governance,The bachelor presents public administration as the academic framework for understanding government and societal challenges.,Bestuurskunde — bachelor programme,https://www.eur.nl/bachelor/bestuurskunde,Explicit,Direct programme interest,cp-000001,mapped
320,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,designing and improving public policy,The programme identifies policy development as a central area of study and includes policy analysis throughout the curriculum.,Bestuurskunde — study programme,https://www.eur.nl/bachelor/bestuurskunde/studieprogramma,Explicit,Direct programme interest,cp-000001,mapped
321,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,managing public organisations,Management and organisation are explicitly presented as core knowledge for addressing problems in the public sector.,Bestuurskunde — bachelor programme,https://www.eur.nl/bachelor/bestuurskunde,Explicit,Direct programme interest,cp-000001,mapped
322,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,analysing complex societal problems,The programme directly states that students learn to analyse societal problems using multiple academic perspectives.,Bestuurskunde — bachelor programme,https://www.eur.nl/bachelor/bestuurskunde,Explicit,Direct programme interest,cp-000001,mapped
323,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,politics and political decision-making,The programme combines political science with public administration to understand government and complex public decisions.,Bestuurskunde — why this programme,https://www.eur.nl/bachelor/bestuurskunde/waarom-deze-studie,Explicit,Direct programme interest,cp-000001,mapped
324,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,"law, government and public decision-making",The programme identifies law as a core analytical perspective and teaches constitutional and administrative law.,Bestuurskunde — why this programme || Bestuurskunde — study programme,https://www.eur.nl/bachelor/bestuurskunde/waarom-deze-studie || https://www.eur.nl/bachelor/bestuurskunde/studieprogramma,Explicit,Direct programme interest,cp-000001,mapped
325,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,the sociology of public problems,The programme explicitly uses sociology to analyse societal problems and understand the society in which policy operates.,Bestuurskunde — why this programme,https://www.eur.nl/bachelor/bestuurskunde/waarom-deze-studie,Explicit,Direct programme interest,cp-000001,mapped
326,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,"economics, public welfare and distribution",The programme combines economics with a substantive subject on welfare and distribution when analysing social challenges.,Bestuurskunde — why this programme || Bestuurskunde — study programme,https://www.eur.nl/bachelor/bestuurskunde/waarom-deze-studie || https://www.eur.nl/bachelor/bestuurskunde/studieprogramma,Explicit,Direct programme interest,cp-000001,mapped
327,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,climate change as a public-policy challenge,The prospective-student page explicitly identifies climate change as one of the societal issues this bachelor teaches students to address.,Bestuurskunde — why this programme,https://www.eur.nl/bachelor/bestuurskunde/waarom-deze-studie,Explicit,Direct programme interest,cp-000001,mapped
328,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,the housing crisis and government responses,The programme explicitly identifies the housing crisis as a public problem investigated through public-administration perspectives.,Bestuurskunde — why this programme,https://www.eur.nl/bachelor/bestuurskunde/waarom-deze-studie,Explicit,Direct programme interest,cp-000001,mapped
329,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,crime as a governance and policy problem,"The programme identifies crime among the major societal issues students learn to investigate, understand and address.",Bestuurskunde — why this programme,https://www.eur.nl/bachelor/bestuurskunde/waarom-deze-studie,Explicit,Direct programme interest,cp-000001,mapped
330,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,insecure work and changes in the labour market,The programme specifically presents labour-market flexibilisation as a contemporary societal problem for public-administration study.,Bestuurskunde — why this programme,https://www.eur.nl/bachelor/bestuurskunde/waarom-deze-studie,Explicit,Direct programme interest,cp-000001,mapped
331,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,how organisations cooperate to govern complex problems,Network governance is a substantive bachelor subject and a student describes applying this knowledge during a ministry internship.,Bestuurskunde — study programme || Bestuurskunde — bachelor programme,https://www.eur.nl/bachelor/bestuurskunde/studieprogramma || https://www.eur.nl/bachelor/bestuurskunde,Explicit,Curricular topic,cp-000001,mapped
332,3,1015O5182,Erasmus Universiteit Rotterdam,,Bachelor Bestuurskunde,constitutional and administrative law,The first-year curriculum includes a substantial subject addressing the legal framework of the state and public administration.,Bestuurskunde — study programme,https://www.eur.nl/bachelor/bestuurskunde/studieprogramma,Explicit,Curricular topic,cp-000001,mapped
